type,entry,is_correction,created,network,net_settlement_currency,net_settlement_impact,settlement_service_code,settlement_service_name,settlement_service_id,type_specific,transaction_reference,transaction_type,gross_settlement_amount
secondPresentment-dms,1,FALSE,11.07.2024 13:56,mastercard,EUR,credit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",c90335ff-e59e-4957-bc6a-02fa62265b03,purchase,250
firstChargeback-dms,1,FALSE,30.07.2024 13:54,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",af005b4d-d557-4c54-85b9-ca78cea6c038,purchase,100
firstChargeback-dms,1,FALSE,2024-07-03 03:11:10.012,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",9715cab9-ebed-4c26-adf2-65974d397da6,purchase,20
firstChargeback-dms,1,FALSE,03.07.2024 03:11,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",8d8d3629-55c7-4e27-be22-48edc3dc493f,purchase,20
firstChargeback-dms,1,FALSE,04.07.2024 03:11,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",9576aa98-7de5-4a25-9979-259956da2b5d,purchase,100
secondPresentment-dms,1,FALSE,2024-07-09 10:48:32.004,visa,GBP,credit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",6e0ebfa1-5a0c-45cb-8a84-ec92114ec121,purchase,108.4
firstChargeback-dms,1,FALSE,09.07.2024 10:48,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",231dc79c-57ce-4cc7-9215-a7c44802a7ce,purchase,100
firstChargeback-dms,1,FALSE,09.07.2024 03:23,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""collaborationRefund""}",b3190e8e-462c-452a-b511-2c0c32e68ec7,purchase,20
firstChargeback-dms,1,FALSE,11.07.2024 00:19,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",c90335ff-e59e-4957-bc6a-02fa62265b03,purchase,250
firstChargeback-dms,1,FALSE,2024-07-11 00:19:45.018,mastercard,EUR,debit,EU00000008,"EUR - Deutsche Bank, Frankfurt",EU00000008-EUR,"{ ""preDispute"": ""none""}",e4110324-8dd1-4103-a9cb-56d1f5d86494,purchase,990
firstChargeback-dms,1,FALSE,14.07.2024 10:47,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",eff73240-1470-408d-a26a-7b42e08a591f,purchase,14.6
firstChargeback-dms,1,FALSE,14.07.2024 10:47,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",58e2b74c-3a4d-490f-bd3e-0fca0be4fbc2,purchase,25.31
firstChargeback-dms,1,FALSE,14.07.2024 10:47,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",a589cc19-cc7e-44c3-9629-d8f5ae192b85,purchase,16.73
firstChargeback-dms,1,FALSE,2024-07-14 10:47:31.025,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",2dcd2549-b55f-41c3-ab77-4466fc50ac2b,purchase,25.09
preArbitration-dms,1,FALSE,16.07.2024 11:02,visa,GBP,debit,1,International Settlement Service,ISS-GBP,"{ ""preDispute"": ""none""}",6e0ebfa1-5a0c-45cb-8a84-ec92114ec121,purchase,108.4
preArbitration-dms,1,FALSE,16.07.2024 11:02,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",e1e29ebc-1592-4d09-9b8e-9c885b0e458d,purchase,520.23
firstChargeback-dms,1,FALSE,16.07.2024 11:02,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",5292d7f7-e8c6-4f4b-9ac4-02302c86eab3,purchase,100
firstChargeback-dms,1,FALSE,16.07.2024 11:02,visa,EUR,debit,1,International Settlement Service,ISS-EUR,"{ ""preDispute"": ""none""}",f958d119-85de-4d26-a19e-436db25184f0,purchase,100
