"type","acct_num","action_type","currency","transaction_type","transaction_reference","debit","credit"
Second Presentment,"2100",secondPresentment-dms,EUR,purchase,c90335ff-e59e-4957-bc6a-02fa62265b03,250,0
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,af005b4d-d557-4c54-85b9-ca78cea6c038,0,100
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,"9715cab9-ebed-4c26-adf2-65974d397da6",0,20
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,"8d8d3629-55c7-4e27-be22-48edc3dc493f",0,20
Chargeback,"2100",firstChargeback-dms,EUR,purchase,"9576aa98-7de5-4a25-9979-259956da2b5d",0,100
Second Presentment,"2100",secondPresentment-dms,GBP,purchase,"6e0ebfa1-5a0c-45cb-8a84-ec92114ec121",108,0
Chargeback,"2100",firstChargeback-dms,EUR,purchase,"231dc79c-57ce-4cc7-9215-a7c44802a7ce",0,100
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,b3190e8e-462c-452a-b511-2c0c32e68ec7,0,20
Chargeback,"2100",firstChargeback-dms,EUR,purchase,c90335ff-e59e-4957-bc6a-02fa62265b03,0,250
Chargeback,"2100",firstChargeback-dms,EUR,purchase,e4110324-8dd1-4103-a9cb-56d1f5d86494,0,990
Chargeback,"2100",firstChargeback-dms,GBP,purchase,eff73240-1470-408d-a26a-7b42e08a591f,0,14
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"58e2b74c-3a4d-490f-bd3e-0fca0be4fbc2",0,25
Chargeback,"2100",firstChargeback-dms,GBP,purchase,a589cc19-cc7e-44c3-9629-d8f5ae192b85,0,16
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"2dcd2549-b55f-41c3-ab77-4466fc50ac2b",0,25
Arbitration,"2100",preArbitration-dms,GBP,purchase,"6e0ebfa1-5a0c-45cb-8a84-ec92114ec121",0,108
Arbitration,"2100",preArbitration-dms,EUR,purchase,e1e29ebc-1592-4d09-9b8e-9c885b0e458d,0,520
Chargeback,"2100",firstChargeback-dms,EUR,purchase,"5292d7f7-e8c6-4f4b-9ac4-02302c86eab3",0,100
Chargeback,"2100",firstChargeback-dms,EUR,purchase,f958d119-85de-4d26-a19e-436db25184f0,0,100
Chargeback,"2100",firstChargeback-dms,EUR,purchase,"088a7cdf-e007-401d-8a88-6f7f748d466e",0,151
